full_name,a,e,i,H,diameter,albedo,class,first_obs
 81708 (2000 JZ22),2.778,0.0867,8.89,15.08,4.873,0.082,MBA,2000-04-28
168249 (2006 KF105),2.598,0.1572,14.89,15.95,2.018,0.274,MBA,2002-07-11
 19256 (1994 WA4),2.703,0.0861,11.7,13.54,5.974,0.216,MBA,1954-12-22
521473 (2015 OV92),3.127,0.0965,16.45,16.1,4.251,0.081,MBA,1998-07-16
 76049 (2000 DA57),2.654,0.0612,4.25,15.59,2.413,0.23,MBA,1993-09-15
 91400 (1999 MW),2.55,0.2122,11.16,14.77,3.519,0.327,MBA,1999-06-15
 11059 Nulliusinverba (1991 RS),2.573,0.1981,14.39,14.05,4.865,0.247,MBA,1954-09-04
       (2017 YW14),3.153,0.1931,27.25,15.57,5.098,0.023,MBA,2005-09-03
420258 (2011 JX16),3.123,0.2051,21.48,16.27,2.853,0.104,MBA,2000-05-30
 31574 Moshova (1999 FB25),2.368,0.0717,6.05,15.21,2.278,0.463,MBA,1993-08-20
179956 (2002 WV18),2.629,0.1531,11.51,15.64,4.978,0.049,MBA,2002-10-16
218418 (2004 RZ113),2.877,0.2953,14.03,15.27,5.196,0.065,MBA,1999-07-12
 35209 (1994 PJ38),2.978,0.0638,8.36,14.74,3.97,0.148,MBA,1994-08-10
552984 (2010 XP18),2.612,0.3001,5.95,16.95,2.715,0.042,MBA,2001-07-13
 96355 (1997 VR6),2.208,0.1661,4.87,16.7,1.399,0.227,MBA,1997-10-29
108942 (2001 PL26),3.138,0.0976,11.08,15.02,5.813,0.076,MBA,2000-05-02
 47075 (1998 YB),3.232,0.1359,0.16,13.82,9.81,0.073,OMB,1996-08-20
376161 (2011 BU105),2.709,0.0991,3.3,17.31,2.056,0.08,MBA,2009-10-27
106477 (2000 WZ16),2.605,0.1574,12.4,16.2,3.572,0.055,MBA,1998-04-21
 55734 (1986 WD6),2.541,0.2063,14.7,14.23,3.818,0.277,MBA,1986-11-27
 11288 Okunohosomichi (1990 XU),2.999,0.1109,10.78,12.85,10.63,0.094,MBA,1990-12-10
238620 (2005 BK25),2.579,0.0581,29.0,16.21,3.963,0.064,MBA,2000-12-28
301580 (2009 UT94),5.193,0.0394,10.56,13.09,11.294,0.115,TJN,2002-03-09
248382 (2005 SY6),3.183,0.1932,6.81,16.31,4.904,0.027,MBA,1999-10-11
 81631 (2000 HD77),2.815,0.0805,7.13,15.3,5.215,0.071,MBA,2000-04-27
411519 (2011 BA49),3.0,0.1693,11.2,17.32,1.817,0.041,MBA,2006-02-24
 54850 (2001 OZ11),3.036,0.211,9.36,13.65,10.164,0.075,MBA,1996-11-07
346996 (2010 CU168),2.696,0.1415,11.98,16.39,1.992,0.134,MBA,2003-10-21
174155 (2002 PH47),2.656,0.2491,12.34,15.32,2.415,0.303,MBA,1998-11-14
 34777 (2001 RH),2.866,0.4073,34.16,12.82,15.636,0.06,MBA,1983-07-06
227962 Aramis (2007 HQ14),2.918,0.0121,5.41,16.04,4.458,0.039,MBA,2003-06-24
 85127 (1978 VJ11),2.775,0.0947,6.49,15.21,5.906,0.061,MBA,1978-11-05
126181 (2002 AB16),2.76,0.2333,5.04,15.25,5.48,0.071,MBA,1998-04-21
369429 (2009 WN253),3.04,0.1374,10.69,16.22,4.587,0.044,MBA,2008-08-23
 84414 (2002 TG195),2.807,0.1457,7.73,15.19,4.912,0.097,MBA,1998-12-17
 74322 (1998 UN26),2.647,0.0966,6.91,15.26,5.666,0.066,MBA,1998-10-18
153067 (2000 QG195),2.593,0.1068,6.98,16.09,3.589,0.072,MBA,2000-07-29
188178 (2002 JL73),3.149,0.2788,22.46,14.72,6.821,0.05,MBA,2002-04-09
 17465 Inawashiroko (1990 VU3),2.982,0.1331,1.32,14.3,7.012,0.108,MBA,1990-11-11
 98333 (2000 SC295),2.332,0.3115,4.77,15.93,2.261,0.165,MCA,1982-11-04
429264 (2010 CO14),3.196,0.1948,25.77,16.13,3.793,0.054,MBA,2009-03-21
114718 (2003 GN23),3.042,0.0987,11.56,14.88,3.758,0.181,MBA,1998-05-23
149517 (2003 FF74),2.738,0.2289,5.54,15.66,4.808,0.053,MBA,1998-02-17
       (2010 GC80),3.096,0.0423,15.06,16.44,4.015,0.048,MBA,2005-03-04
113841 (2002 TO236),2.773,0.134,11.06,14.76,4.991,0.148,MBA,2001-06-16
  4340 Dence (1986 JZ),2.395,0.2302,25.15,12.8,8.11,0.155,MBA,1979-11-16
358547 (2007 TJ132),2.439,0.0734,14.67,17.28,2.262,0.046,MBA,2003-10-02
 94565 (2001 VH32),2.363,0.1152,3.14,16.02,4.016,0.063,MBA,1999-03-23
166568 (2002 RH114),2.741,0.0114,5.21,15.68,4.105,0.087,MBA,1996-03-16
238654 (2005 EY85),2.759,0.1929,7.57,16.19,3.423,0.092,MBA,1999-12-31
  6005 (1989 BD),2.701,0.1477,7.63,13.29,9.179,0.145,MBA,1989-01-29
 21360 Bobduff (1997 GW30),3.187,0.1282,0.53,13.96,8.841,0.075,MBA,1981-07-02
       (2010 HR60),3.075,0.233,14.06,17.62,1.819,0.031,MBA,2010-04-25
251082 (2006 SW93),2.557,0.2374,0.88,17.37,2.452,0.039,MBA,2000-02-05
171581 (1999 VE57),2.607,0.1528,11.23,16.28,3.568,0.066,MBA,1999-10-10
 15001 Fuzhou (1997 WD30),2.973,0.1337,11.48,13.43,7.629,0.159,MBA,1987-12-23
 75378 (1999 XQ85),2.416,0.2366,3.66,15.71,2.508,0.213,MBA,1996-01-22
 43181 (1999 XY206),3.164,0.2065,14.2,13.6,12.767,0.039,MBA,1996-06-08
 53028 (1998 WX5),2.153,0.1039,3.08,14.51,3.379,0.323,MBA,1993-01-13
243488 (2009 TB41),3.087,0.0703,12.07,15.2,3.777,0.124,MBA,1960-09-24
 22093 (2000 AG200),2.748,0.1653,10.18,14.54,3.726,0.266,MBA,1990-11-08
  3060 Delcano (1982 RD1),2.279,0.1773,7.26,13.29,7.145,0.218,MBA,1953-01-12
       (2010 DC18),3.094,0.1973,25.46,17.13,2.008,0.076,MBA,2010-02-17
 86729 (2000 GX36),2.433,0.1744,2.77,16.01,3.748,0.066,MBA,2000-04-05
 17393 (1981 EA41),3.139,0.0382,6.29,14.36,7.446,0.055,MBA,1978-10-03
 37988 (1998 HB153),2.535,0.0795,15.07,14.97,2.805,0.17,MBA,1998-04-23
203629 (2002 FP25),2.42,0.1661,16.31,16.0,3.981,0.057,MBA,2002-02-21
118983 (2000 XB19),3.036,0.1717,13.74,14.9,6.445,0.067,MBA,2000-11-06
352613 (2008 EC138),3.225,0.1303,19.1,15.2,7.5,0.031,OMB,1999-10-13
223938 (2004 XV13),3.215,0.205,18.29,14.68,11.601,0.027,OMB,1998-11-13
 14453 (1993 FV7),2.291,0.1122,7.5,14.41,3.525,0.357,MBA,1976-05-03
 17532 (1993 FD34),2.986,0.0807,9.77,14.73,4.287,0.139,MBA,1979-09-21
 44889 (1999 VC6),2.183,0.1486,2.22,15.07,2.992,0.197,MBA,1986-11-07
       (2010 CM240),3.131,0.1801,27.13,16.44,3.372,0.032,MBA,2009-10-27
 47033 (1998 VW53),2.729,0.0429,8.87,14.67,4.659,0.141,MBA,1998-11-14
 34646 Niaclements (2000 WT95),2.789,0.0545,0.43,15.09,6.63,0.043,MBA,1997-02-03
 26288 (1998 SA73),2.278,0.1778,6.93,14.98,2.856,0.227,MBA,1991-09-14
208911 (2002 TR279),2.67,0.1364,10.83,15.76,4.403,0.069,MBA,1993-09-14
 38038 (1998 RQ19),3.164,0.1317,1.64,13.97,10.343,0.05,MBA,1998-08-01
149996 (2005 UM114),3.174,0.0905,9.99,14.97,4.424,0.119,MBA,1997-05-03
 48799 Tashikuergan (1997 TX18),2.853,0.0477,2.99,15.07,3.001,0.236,MBA,1971-03-25
 44547 (1999 BC3),3.517,0.0278,4.31,13.7,11.361,0.06,OMB,1998-12-15
306080 (2010 GP138),2.339,0.1831,2.95,17.38,1.968,0.06,MBA,2000-08-31
 58686 (1998 BB1),2.611,0.1325,13.55,13.89,4.476,0.221,MBA,1994-03-09
244343 (2002 JM120),2.59,0.0982,12.85,16.09,2.035,0.204,MBA,2002-04-11
 77798 (2001 QP86),3.136,0.2118,21.37,13.72,10.778,0.064,MBA,2000-07-07
249363 (2008 YG142),2.758,0.0501,4.38,16.52,2.833,0.066,MBA,2005-05-14
       (2010 PB29),3.199,0.1279,16.84,16.15,3.529,0.039,MBA,2001-02-20
 57938 (2002 JT33),2.596,0.1483,13.42,14.37,3.706,0.323,MBA,1998-05-26
156812 (2003 BM51),2.379,0.1442,2.59,16.84,2.931,0.043,MBA,1992-02-09
       (2016 RE24),3.167,0.3384,23.83,17.11,2.617,0.028,MBA,2010-04-17
 78650 (2002 TG51),3.146,0.0253,15.47,14.28,8.259,0.071,MBA,1994-05-04
  3614 Tumilty (1983 AE1),2.978,0.1322,16.7,10.63,47.829,0.04,MBA,1952-02-26
144872 (2004 NN12),3.014,0.1266,11.31,15.04,3.321,0.169,MBA,2000-11-27
126448 (2002 CS19),2.639,0.1257,4.77,16.05,1.928,0.3,MBA,2000-09-24
 17153 (1999 JK119),3.244,0.0849,2.78,13.68,10.412,0.071,OMB,1992-03-02
204290 (2004 PV21),2.176,0.1022,6.36,17.15,1.129,0.22,MBA,1994-06-07
       (2010 AY132),2.851,0.1289,17.41,18.09,2.796,0.057,MBA,2010-01-15
411070 (2009 VG65),3.136,0.0202,13.72,15.7,4.661,0.051,MBA,2003-10-20
474963 (2005 TZ50),3.145,0.2179,10.06,16.32,4.244,0.039,MBA,2005-09-01
160224 (2002 GT59),2.613,0.1198,9.97,15.68,5.122,0.067,MBA,1999-09-18
216765 (2005 TG99),3.106,0.057,9.34,15.44,5.067,0.052,MBA,2000-11-01
231559 (2008 TC46),2.798,0.0621,5.54,15.81,3.908,0.067,MBA,1992-03-26
216020 (2005 UD510),2.247,0.0241,3.76,17.35,1.8,0.079,MBA,2001-08-17
 69349 (1993 VU),2.307,0.2642,22.75,15.18,2.246,0.319,MBA,1993-11-09
 28238 (1999 AB18),2.87,0.0103,2.72,14.41,3.94,0.261,MBA,1994-01-16
358976 (2008 SZ38),5.279,0.0523,13.31,13.67,11.639,0.068,TJN,2002-03-21
  7052 Octaviabutler (1988 VQ2),2.718,0.2824,17.56,13.16,9.082,0.189,MBA,1988-11-12
136284 (2003 YY134),2.446,0.2006,9.46,15.86,4.15,0.065,MBA,1991-10-03
166872 (2002 XP50),3.191,0.1321,18.6,14.29,10.307,0.044,MBA,2001-07-23
 66441 (1999 NX56),2.547,0.1385,13.46,14.82,3.189,0.209,MBA,1999-07-12
113368 (2002 SZ2),3.224,0.0421,21.04,13.68,9.492,0.094,OMB,1999-01-23
 21597 (1998 WA8),3.021,0.0704,11.26,12.5,11.256,0.184,MBA,1996-05-16
 91421 (1999 NA65),2.624,0.1858,14.82,14.79,3.777,0.196,MBA,1999-07-14
 29165 (1989 UK1),2.562,0.2695,11.59,14.57,3.365,0.182,MBA,1989-10-26
108560 (2001 LM16),2.576,0.0688,9.21,15.67,3.779,0.086,MBA,2000-01-10
132600 (2002 JB145),2.614,0.2648,15.98,16.07,3.626,0.064,MBA,1998-06-24
 27667 (1979 KJ),3.007,0.0441,11.33,12.97,7.824,0.263,MBA,1955-12-18
123775 (2001 BA7),2.757,0.1092,4.27,15.58,4.005,0.092,MBA,2001-01-14
 59965 (1999 RJ236),3.124,0.0939,10.71,14.32,5.038,0.159,MBA,1999-09-08
 16086 (1999 TF90),3.212,0.1198,1.39,13.48,11.212,0.051,OMB,1973-01-01
 55650 (3536 P-L),2.45,0.18,11.43,14.81,2.829,0.35,MBA,1960-09-24
  7036 Kentarohirata (1995 BH3),3.098,0.2011,8.94,12.4,19.172,0.076,MBA,1991-07-10
 51673 (2001 KC7),2.761,0.0993,4.83,14.8,5.249,0.111,MBA,1997-08-12
 72698 (2001 FZ75),3.088,0.0568,10.08,14.34,6.724,0.098,MBA,1998-10-12
245109 (2004 PR89),3.179,0.1995,4.11,16.23,2.708,0.08,MBA,1997-04-29
127944 (2003 HN4),2.751,0.2991,15.52,15.3,4.904,0.088,MBA,2000-12-04
416466 (2003 WG66),3.116,0.1587,26.38,15.48,5.643,0.055,MBA,2002-10-10
 23677 (1997 GV32),2.551,0.1938,13.56,14.5,4.094,0.241,MBA,1997-04-03
208841 (2002 RH159),2.646,0.0308,7.85,16.18,3.139,0.094,MBA,2002-09-07
478323 (2011 WZ92),3.218,0.1092,16.2,16.13,3.14,0.059,OMB,2003-05-28
 39068 (2000 VW9),3.093,0.1368,1.27,14.74,5.493,0.102,MBA,1994-09-11
138352 (2000 GS116),2.614,0.2022,15.01,15.08,3.258,0.152,MBA,1999-01-14
 24496 (2001 AV17),2.619,0.2262,5.03,15.13,2.574,0.243,MBA,1993-05-23
 33906 (2000 KL81),2.288,0.2295,6.59,15.12,2.572,0.195,MBA,1969-09-08
 75970 Olcott (2000 CH112),2.571,0.1363,8.93,14.82,2.908,0.331,MBA,2000-02-07
316191 (2010 LK12),2.927,0.0659,13.14,16.26,3.784,0.041,MBA,2005-09-02
  2124 Nissen (1974 MK),3.02,0.0965,10.72,12.08,14.562,0.17,MBA,1952-04-29
  5645 (1990 SP),1.355,0.3873,13.51,17.23,1.668,0.121,APO,1974-08-13
 60681 (2000 GE31),2.184,0.2239,4.96,16.08,1.96,0.167,MBA,1991-09-13
116900 (2004 FO143),2.375,0.1765,13.71,15.2,3.193,0.208,MBA,2000-02-03
150287 (1999 TB113),3.114,0.0454,12.31,14.74,6.233,0.072,MBA,1997-05-08
156701 (2002 LH45),3.056,0.1325,6.38,15.45,4.734,0.06,MBA,2002-05-11
 38260 (1999 RK15),2.647,0.1718,6.74,14.86,5.847,0.09,MBA,1998-04-20
 53073 (1998 XL63),2.632,0.1966,9.81,15.11,5.044,0.121,MBA,1983-05-06
284634 (2007 VK267),3.934,0.1303,8.18,14.71,6.895,0.034,OMB,2004-09-13
 84402 (2002 TD180),2.46,0.1471,11.12,14.94,4.52,0.125,MBA,1998-10-02
232809 (2004 RD257),2.692,0.1209,8.37,16.41,3.182,0.069,MBA,2002-02-11
 82870 (2001 QC64),3.075,0.0855,10.2,14.63,4.187,0.133,MBA,1990-08-26
 49675 (1999 SW27),1.952,0.0899,18.04,14.73,1.896,1.0,IMB,1986-12-01
124094 (2001 HK33),3.085,0.0776,4.53,15.36,5.521,0.053,MBA,2000-02-15
167274 (2003 UT148),2.613,0.1369,14.9,15.78,2.438,0.206,MBA,2003-09-29
       (2010 NG29),3.194,0.2107,3.98,16.78,2.213,0.063,MBA,2010-07-07
214932 (2007 VX163),2.298,0.0874,3.87,17.5,2.046,0.056,MBA,2000-11-29
429243 (2010 AF86),3.02,0.0939,7.73,16.43,3.02,0.053,MBA,2007-11-03
 60044 (1999 TA103),3.073,0.1847,15.56,14.26,8.872,0.047,MBA,1999-09-14
       (2010 OU1),2.767,0.323,18.27,18.16,1.893,0.103,MBA,2010-07-16
127898 (2003 GA16),2.359,0.1097,9.32,16.11,1.769,0.296,MBA,1999-02-12
377444 (2004 TS323),2.77,0.0364,5.51,16.76,2.757,0.049,MBA,2004-10-11
158152 (2001 HO50),3.293,0.1429,33.1,14.37,7.106,0.08,OMB,2001-03-31
  5397 Vojislava (1988 VB5),2.529,0.1852,12.39,12.85,11.455,0.101,MBA,1964-11-29
206799 (2004 DO43),2.924,0.0203,12.56,15.6,2.943,0.155,MBA,2001-09-12
348593 (2005 WF152),2.615,0.2377,12.97,16.96,1.411,0.185,MBA,2005-11-28
  1400 Tirela (1936 WA),3.127,0.2329,15.63,11.49,15.697,0.216,MBA,1930-10-15
199455 (2006 DY40),3.045,0.0256,20.51,14.92,5.815,0.083,MBA,1992-09-27
       (2010 LF115),3.158,0.2871,16.27,17.57,1.982,0.065,MBA,2010-06-13
 33536 Charpugdee (1999 HU9),2.403,0.0829,3.46,15.41,5.458,0.059,MBA,1993-10-10
 10806 Mexico (1993 FA2),3.19,0.106,6.16,13.35,11.493,0.084,MBA,1987-02-23
 38497 (1999 TK130),3.173,0.0858,5.75,14.18,7.772,0.088,MBA,1997-04-30
115281 (2003 SK189),3.145,0.1261,4.23,15.17,5.386,0.067,MBA,2000-03-03
 19706 (1999 TU11),3.164,0.2321,13.64,12.87,16.725,0.036,MBA,1953-12-07
471449 (2011 UX153),3.157,0.3165,24.38,15.66,4.796,0.053,MBA,2005-07-31
133931 (2004 SE49),2.778,0.1381,17.54,15.21,6.275,0.041,MBA,1999-07-14
469794 (2005 RQ29),3.084,0.3006,18.85,16.02,4.093,0.039,MBA,2005-07-28
105800 (2000 SG127),2.272,0.1743,7.46,16.38,3.792,0.059,MBA,1998-03-04
 96276 (1995 VG11),2.627,0.1586,9.04,15.09,4.911,0.076,MBA,1992-01-28
446405 (2014 HY194),2.664,0.1998,7.78,17.0,2.961,0.046,MBA,2005-03-03
515064 (2010 MO62),2.804,0.2134,9.03,17.18,2.264,0.05,MBA,1996-10-06
 49189 (1998 SJ80),2.428,0.0893,10.47,15.42,4.848,0.053,MBA,1993-04-18
339719 (2005 SJ9),2.265,0.1253,24.07,16.8,3.386,0.027,MBA,2004-02-14
 21517 Dobi (1998 KS52),2.355,0.1831,7.74,14.97,3.287,0.259,MBA,1996-12-05
 10763 Hlawka (1990 TH13),3.043,0.1072,10.81,12.84,9.228,0.157,MBA,1990-10-11
 69259 Savostyanov (1982 ST7),2.569,0.2905,3.96,14.74,3.011,0.596,MBA,1982-09-18
 44822 (1999 TW239),2.378,0.0725,7.22,15.08,2.646,0.333,MBA,1992-11-27
 29972 Chriswan (1999 KO11),3.123,0.0371,8.27,14.2,10.488,0.034,MBA,1998-02-24
135944 (2002 TY205),2.555,0.1957,5.39,15.45,2.877,0.177,MBA,2002-10-04
184933 (2005 VK33),2.982,0.0873,8.11,15.28,3.148,0.148,MBA,1998-05-01
 44997 (1999 VX184),2.241,0.1915,2.97,16.41,3.83,0.036,MBA,1991-02-21
 75419 (1999 XF117),2.295,0.1723,7.88,15.45,2.635,0.193,MBA,1999-10-14
197187 (2003 UV314),2.694,0.0829,1.71,16.07,4.817,0.04,MBA,2001-03-24
 89184 (2001 UU73),2.387,0.1169,3.16,16.2,2.079,0.196,MBA,1993-07-19
 76700 (2000 HQ86),3.087,0.1658,3.76,14.99,6.59,0.049,MBA,1994-03-06
119145 (2001 PS41),2.428,0.2065,21.78,15.47,2.138,0.352,MBA,1999-02-16
 23692 Nandatianwenners (1997 KA),2.656,0.149,12.94,12.89,7.108,0.302,MBA,1997-05-20
120101 (2003 FP5),3.024,0.0621,8.09,15.04,3.833,0.158,MBA,1998-04-30
 85052 (6778 P-L),2.766,0.2205,10.34,15.17,6.09,0.057,MBA,1960-09-24
151930 (2004 FA22),3.23,0.1044,6.2,15.01,5.902,0.068,OMB,1960-09-26
188980 (2008 FR15),3.121,0.0153,10.6,15.53,4.184,0.077,MBA,1997-05-02
137726 (1999 XL115),2.24,0.1712,5.66,16.68,1.349,0.267,MBA,1999-11-09
 17290 (2060 P-L),2.248,0.0988,2.98,15.44,2.487,0.26,MBA,1960-09-24
191493 (2003 TT57),3.012,0.1649,14.19,15.38,4.149,0.078,MBA,2003-09-21
  1745 Ferguson (1941 SY1),2.845,0.0566,3.26,11.86,12.113,0.209,MBA,1941-09-17
 96601 (1998 XD78),3.133,0.3005,14.15,14.67,4.744,0.124,MBA,1998-11-19
113853 (2002 TK246),2.73,0.2493,5.6,15.24,5.414,0.072,MBA,2000-03-10
435907 (2009 BV24),3.155,0.1697,11.65,16.46,3.918,0.032,MBA,2000-09-20
 22381 (1994 CN10),2.275,0.1939,3.68,15.05,2.719,0.262,MBA,1992-11-25
 66761 (1999 TE187),2.697,0.132,11.48,14.54,3.518,0.188,MBA,1999-09-08
 12902 (1998 RW52),3.03,0.0473,9.69,12.79,10.467,0.177,MBA,1980-03-16
 27112 (1998 VC35),2.642,0.2185,12.1,14.09,8.8,0.083,MBA,1981-12-04
       (2010 JQ138),2.663,0.155,10.94,16.94,2.217,0.075,MBA,2010-05-14
130392 (2000 KM60),3.104,0.2542,7.42,15.16,6.452,0.061,MBA,2000-05-25
204883 (2007 TR128),3.131,0.1207,0.84,16.01,3.213,0.062,MBA,1994-05-03
163258 (2002 GT37),2.571,0.1987,18.41,15.26,2.253,0.418,MBA,1998-04-24
  1536 Pielinen (1939 SE),2.204,0.195,1.54,12.86,7.975,0.253,MBA,1903-10-01
 37111 (2000 UP103),3.136,0.1712,5.97,14.35,8.658,0.059,MBA,1991-03-13
249150 (2008 AA72),3.124,0.1054,8.77,15.33,5.039,0.058,MBA,2001-12-17
 51334 (2000 NW11),3.047,0.1099,8.98,14.54,8.417,0.04,MBA,1999-02-14
 33090 (1997 XT11),2.638,0.0622,16.15,14.07,4.127,0.343,MBA,1997-12-13
 71598 (2000 DG84),2.969,0.0578,6.84,14.88,6.182,0.097,MBA,1998-11-18
114091 (2002 VQ38),2.673,0.1646,12.49,15.2,2.99,0.198,MBA,1998-12-16
435375 (2007 VS330),3.186,0.111,19.84,15.86,4.636,0.039,MBA,2002-12-06
 34533 (2000 SS213),3.059,0.0791,10.63,14.12,6.222,0.095,MBA,1996-01-15
  5576 Albanese (1986 UM1),2.759,0.0706,5.61,12.59,24.332,0.036,MBA,1954-10-25
 44951 (1999 VD68),2.552,0.1226,13.41,13.95,4.91,0.292,MBA,1995-12-14
246550 (2008 SO47),5.13,0.2254,6.68,12.95,15.152,0.058,TJN,2003-04-05
141375 (2002 AL57),2.574,0.2627,3.89,15.44,2.41,0.304,MBA,1996-08-15
 14499 Satotoshio (1995 VR1),2.162,0.1841,4.99,15.04,2.502,0.49,MBA,1954-12-22
118570 (2000 GP1),2.264,0.161,7.28,16.42,1.558,0.318,MBA,2000-04-04
 42076 (2001 AQ4),3.211,0.1027,20.08,13.98,9.97,0.085,OMB,1984-01-25
 48892 (1998 KA48),2.292,0.2342,7.65,15.84,2.699,0.168,MBA,1991-06-10
       (2010 KA107),3.117,0.3015,6.41,17.5,2.259,0.032,MBA,2010-05-29
245959 (2006 SY55),2.641,0.2744,13.15,15.85,1.713,0.346,MBA,2005-04-11
339566 (2005 KF8),3.054,0.0944,13.48,15.43,3.009,0.162,MBA,2004-01-17
 45651 (2000 EK60),2.713,0.2624,3.42,14.92,6.965,0.048,MBA,1980-11-01
240217 (2002 SX44),3.092,0.2148,26.42,15.68,4.711,0.055,MBA,2002-09-29
108575 (2001 MS5),2.645,0.1257,13.73,15.69,2.345,0.222,MBA,1996-02-16
240874 (2006 DG7),2.359,0.131,2.53,17.27,1.861,0.081,MBA,1960-09-26
 32389 Michflannory (2000 QJ202),3.101,0.1495,2.76,15.0,6.788,0.035,MBA,1993-03-17
206628 (2003 WE151),3.136,0.2149,24.08,14.53,7.908,0.058,MBA,1998-01-04
 56542 (2000 HJ63),2.416,0.2017,1.39,15.73,2.185,0.213,MBA,1990-11-17
246868 (1366 T-3),3.231,0.133,10.8,15.64,5.352,0.043,OMB,1977-10-11
 88647 (2001 RX66),2.619,0.127,6.68,15.1,5.928,0.074,MBA,1999-01-15
 24478 (2000 WC145),3.132,0.2129,26.37,12.7,19.439,0.047,MBA,1982-10-13
123691 (2000 YJ101),2.671,0.0842,15.89,15.12,2.587,0.317,MBA,2000-12-28
153884 (2001 XO158),2.611,0.0483,8.71,15.49,2.383,0.284,MBA,2000-09-23
 20761 (2000 EA8),2.312,0.1732,9.4,13.8,4.666,0.295,MBA,1982-01-26
394130 (2006 HY51),2.589,0.9685,33.58,17.22,1.218,0.157,APO,2006-04-26
 55132 (2001 QB182),2.977,0.0995,10.32,13.56,5.832,0.249,MBA,1999-03-18
   288 Glauke (A890 DA),2.76,0.2058,4.34,9.91,28.981,0.175,MBA,1891-08-27
  7439 Tetsufuse (1994 XG1),2.618,0.064,4.49,13.64,5.737,0.257,MBA,1979-04-26
386955 (2011 SS184),3.131,0.1288,5.72,16.09,2.781,0.03,MBA,2003-04-01
337790 (2001 UU201),3.089,0.0817,17.74,15.71,4.52,0.06,MBA,2001-10-15
368598 (2004 RE105),2.752,0.1365,12.3,16.15,3.024,0.092,MBA,2004-09-08
254657 (2005 KG),2.565,0.0885,3.95,16.57,2.518,0.084,MBA,2005-05-12
136339 (2004 CW14),3.077,0.1042,16.88,14.92,3.7,0.17,MBA,2001-08-01
275288 (2010 CV162),3.884,0.0862,3.15,15.23,7.309,0.033,OMB,2003-02-07
248880 (2006 UB175),2.738,0.188,9.53,15.93,5.042,0.036,MBA,2004-05-23
139289 (2001 KR1),1.26,0.8413,23.26,17.75,1.126,0.127,APO,2001-05-18
226995 (2004 XL74),2.989,0.2378,13.91,15.29,2.788,0.328,MBA,1999-12-16
196758 (2003 SP155),3.151,0.146,2.2,15.21,3.892,0.154,MBA,1998-12-17
  1256 Normannia (1932 PD),3.891,0.0791,4.18,9.86,68.245,0.052,OMB,1930-05-25
310314 (2011 UG127),2.996,0.0381,9.44,15.67,3.732,0.055,MBA,2003-03-10
 60291 (1999 XV140),2.485,0.1525,7.38,15.85,4.22,0.053,MBA,1998-09-22
383145 (2005 UC218),2.59,0.1706,12.39,16.23,1.618,0.269,MBA,2002-01-14
 90011 (2002 TU206),2.749,0.0761,4.8,15.19,5.973,0.059,MBA,1993-11-17
245434 (2005 JL120),3.187,0.1138,5.88,15.48,4.294,0.08,MBA,2001-10-24
341513 (2007 TB420),3.046,0.148,23.42,15.47,5.295,0.048,MBA,1999-03-11
373078 (2011 FE90),3.029,0.079,9.07,16.53,4.462,0.047,MBA,2000-02-01
247281 (2001 SR155),3.159,0.189,16.02,15.35,6.466,0.046,MBA,2001-09-17
263679 (2008 GM127),3.119,0.0335,13.32,16.03,3.946,0.05,MBA,2004-09-14
458107 (2010 CK55),3.161,0.2733,15.97,15.6,5.146,0.042,MBA,2009-10-27
123075 (2000 SA312),2.545,0.1173,15.7,15.95,2.703,0.139,MBA,2000-09-05
212985 (2009 DZ5),3.1,0.0557,11.2,15.22,3.699,0.129,MBA,2000-09-20
194825 (2001 YD127),2.454,0.0753,5.0,16.54,3.365,0.057,MBA,2000-08-28
 66209 (1999 CC14),2.576,0.2954,4.11,14.77,2.812,0.323,MBA,1995-03-28
       (2014 SV141),2.132,0.5223,7.8,21.6,0.172,0.137,AMO,2014-08-14
       (2010 MZ35),3.088,0.1018,15.76,16.62,2.234,0.089,MBA,2010-06-21
450167 (2001 RW149),2.738,0.2364,8.69,17.21,2.274,0.071,MBA,2001-05-22
 73084 (2002 GX16),2.357,0.1395,1.45,16.06,1.715,0.239,MBA,1998-01-22
 49227 (1998 SC137),2.615,0.0704,15.29,14.37,4.816,0.174,MBA,1998-09-19
236578 (2006 HW99),2.694,0.0398,8.03,16.96,2.844,0.038,MBA,2003-10-03
418488 (2008 RM114),3.172,0.0302,15.14,16.29,4.436,0.023,MBA,2000-04-13
 45484 (2000 AV235),2.93,0.0276,1.57,14.92,3.825,0.175,MBA,1998-09-14
246757 (2009 BM175),3.155,0.1861,24.82,15.35,7.272,0.03,MBA,1998-03-04
147914 (2006 UE47),3.015,0.0797,3.92,16.36,4.159,0.034,MBA,2000-07-31
 16973 Gaspari (1998 WR19),2.232,0.0992,4.36,14.46,3.869,0.205,MBA,1951-11-08
  2657 Bashkiria (1979 SB7),3.17,0.1601,2.24,12.28,21.229,0.048,MBA,1962-11-01
212643 (2006 UW35),3.114,0.0673,2.47,16.09,3.837,0.048,MBA,2000-09-21
  5161 Wightman (1980 TX3),2.849,0.0835,1.52,12.81,8.36,0.277,MBA,1951-09-04
   492 Gismonda (A902 RF),3.115,0.1815,1.61,10.02,53.418,0.069,MBA,1902-09-04
423363 (2005 JF35),3.163,0.0882,11.52,16.19,3.48,0.07,MBA,2002-12-04
